request_id,status,client,channel,asset_type,campaign_label,canonical_campaign,utm_source,utm_medium,utm_campaign,utm_term,utm_content,destination_url,final_long_url,short_url,qr_url,request_count,first_seen_at,last_seen_at,original_message
1,completed_without_short_link,SFG,Facebook,social,HomePage,HomePage,Facebook,Social,HomePage,LandingPage,Shop,https://studleys.com/,https://studleys.com/?utm_source=Facebook&utm_medium=Social&utm_campaign=HomePage&utm_term=LandingPage&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Home | Facebook | Shop
125,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,FreshWrappedBouquets,Shop,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=FreshWrappedBouquets&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Fresh Wrapped Bouquets | GMB | Shop
126,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,FreshWrappedBouquets,Learn,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=FreshWrappedBouquets&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Fresh Wrapped Bouquets | GMB | Learn
127,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,FreshWrappedBouquets,Explore,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=FreshWrappedBouquets&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Fresh Wrapped Bouquets | GMB | Explore
128,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,FreshWrappedBouquets,,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=FreshWrappedBouquets,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Fresh Wrapped Bouquets | GMB | {null}
129,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,FreshWrappedBouquets,Shop,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=FreshWrappedBouquets&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Fresh Wrapped Bouquets | Instagram | Shop
130,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,FreshWrappedBouquets,Learn,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=FreshWrappedBouquets&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Fresh Wrapped Bouquets | Instagram | Learn
131,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,FreshWrappedBouquets,Explore,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=FreshWrappedBouquets&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Fresh Wrapped Bouquets | Instagram | Explore
132,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,FreshWrappedBouquets,,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=FreshWrappedBouquets,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Fresh Wrapped Bouquets | Instagram | {null}
133,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,FreshWrappedBouquets,Shop,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=FreshWrappedBouquets&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Fresh Wrapped Bouquets | LinkedIn | Shop
134,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,FreshWrappedBouquets,Learn,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=FreshWrappedBouquets&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Fresh Wrapped Bouquets | LinkedIn | Learn
135,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,FreshWrappedBouquets,Explore,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=FreshWrappedBouquets&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Fresh Wrapped Bouquets | LinkedIn | Explore
136,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,FreshWrappedBouquets,,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=FreshWrappedBouquets,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Fresh Wrapped Bouquets | LinkedIn | {null}
137,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,FreshWrappedBouquets,Shop,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=FreshWrappedBouquets&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Fresh Wrapped Bouquets | ConstantContact | Shop
138,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,FreshWrappedBouquets,Learn,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=FreshWrappedBouquets&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Fresh Wrapped Bouquets | ConstantContact | Learn
139,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,FreshWrappedBouquets,Explore,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=FreshWrappedBouquets&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Fresh Wrapped Bouquets | ConstantContact | Explore
140,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,FreshWrappedBouquets,,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/,https://studleys.com/product-category/flowers/fresh-wrapped-bouquets/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=FreshWrappedBouquets,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Fresh Wrapped Bouquets | ConstantContact | {null}
141,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,GetWellSoon,Shop,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=GetWellSoon&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | Facebook | Shop
142,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,GetWellSoon,Learn,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=GetWellSoon&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | Facebook | Learn
143,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,GetWellSoon,Explore,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=GetWellSoon&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | Facebook | Explore
144,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,GetWellSoon,,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=GetWellSoon,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | Facebook | {null}
145,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,GetWellSoon,Shop,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=GetWellSoon&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | GMB | Shop
146,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,GetWellSoon,Learn,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=GetWellSoon&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | GMB | Learn
147,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,GetWellSoon,Explore,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=GetWellSoon&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | GMB | Explore
148,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,GetWellSoon,,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=GetWellSoon,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | GMB | {null}
149,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,GetWellSoon,Shop,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=GetWellSoon&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | Instagram | Shop
150,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,GetWellSoon,Learn,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=GetWellSoon&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | Instagram | Learn
151,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,GetWellSoon,Explore,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=GetWellSoon&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | Instagram | Explore
152,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,GetWellSoon,,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=GetWellSoon,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | Instagram | {null}
153,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,GetWellSoon,Shop,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=GetWellSoon&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | LinkedIn | Shop
154,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,GetWellSoon,Learn,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=GetWellSoon&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | LinkedIn | Learn
155,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,GetWellSoon,Explore,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=GetWellSoon&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | LinkedIn | Explore
156,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,GetWellSoon,,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=GetWellSoon,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | LinkedIn | {null}
157,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,GetWellSoon,Shop,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=GetWellSoon&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | ConstantContact | Shop
158,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,GetWellSoon,Learn,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=GetWellSoon&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | ConstantContact | Learn
159,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,GetWellSoon,Explore,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=GetWellSoon&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | ConstantContact | Explore
160,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,GetWellSoon,,https://studleys.com/product-category/flowers/get-well-soon/,https://studleys.com/product-category/flowers/get-well-soon/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=GetWellSoon,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Get Well Soon | ConstantContact | {null}
161,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,GiftCards,Shop,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=GiftCards&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | Facebook | Shop
162,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,GiftCards,Learn,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=GiftCards&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | Facebook | Learn
163,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,GiftCards,Explore,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=GiftCards&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | Facebook | Explore
164,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,GiftCards,,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=GiftCards,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | Facebook | {null}
165,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,GiftCards,Shop,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=GiftCards&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | GMB | Shop
166,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,GiftCards,Learn,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=GiftCards&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | GMB | Learn
167,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,GiftCards,Explore,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=GiftCards&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | GMB | Explore
168,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,GiftCards,,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=GiftCards,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | GMB | {null}
169,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,GiftCards,Shop,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=GiftCards&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | Instagram | Shop
170,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,GiftCards,Learn,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=GiftCards&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | Instagram | Learn
171,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,GiftCards,Explore,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=GiftCards&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | Instagram | Explore
172,completed_without_short_link,SFG,Instagram,social,Floral,Floral,Instagram,Social,Floral,GiftCards,,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=Instagram&utm_medium=Social&utm_campaign=Floral&utm_term=GiftCards,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | Instagram | {null}
173,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,GiftCards,Shop,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=GiftCards&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | LinkedIn | Shop
174,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,GiftCards,Learn,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=GiftCards&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | LinkedIn | Learn
175,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,GiftCards,Explore,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=GiftCards&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | LinkedIn | Explore
176,completed_without_short_link,SFG,LinkedIn,social,Floral,Floral,LinkedIn,Social,Floral,GiftCards,,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=LinkedIn&utm_medium=Social&utm_campaign=Floral&utm_term=GiftCards,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | LinkedIn | {null}
177,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,GiftCards,Shop,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=GiftCards&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | ConstantContact | Shop
178,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,GiftCards,Learn,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=GiftCards&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | ConstantContact | Learn
179,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,GiftCards,Explore,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=GiftCards&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | ConstantContact | Explore
180,completed_without_short_link,SFG,ConstantContact,email,Floral,Floral,ConstantContact,Email,Floral,GiftCards,,https://studleys.com/product-category/gift-cards/,https://studleys.com/product-category/gift-cards/?utm_source=ConstantContact&utm_medium=Email&utm_campaign=Floral&utm_term=GiftCards,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Gift Cards | ConstantContact | {null}
181,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,JustBecause,Shop,https://studleys.com/product-category/flowers/just-because/,https://studleys.com/product-category/flowers/just-because/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=JustBecause&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Just Because | Facebook | Shop
182,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,JustBecause,Learn,https://studleys.com/product-category/flowers/just-because/,https://studleys.com/product-category/flowers/just-because/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=JustBecause&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Just Because | Facebook | Learn
183,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,JustBecause,Explore,https://studleys.com/product-category/flowers/just-because/,https://studleys.com/product-category/flowers/just-because/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=JustBecause&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Just Because | Facebook | Explore
184,completed_without_short_link,SFG,Facebook,social,Floral,Floral,Facebook,Social,Floral,JustBecause,,https://studleys.com/product-category/flowers/just-because/,https://studleys.com/product-category/flowers/just-because/?utm_source=Facebook&utm_medium=Social&utm_campaign=Floral&utm_term=JustBecause,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Just Because | Facebook | {null}
185,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,JustBecause,Shop,https://studleys.com/product-category/flowers/just-because/,https://studleys.com/product-category/flowers/just-because/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=JustBecause&utm_content=Shop,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Just Because | GMB | Shop
186,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,JustBecause,Learn,https://studleys.com/product-category/flowers/just-because/,https://studleys.com/product-category/flowers/just-because/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=JustBecause&utm_content=Learn,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Just Because | GMB | Learn
187,completed_without_short_link,SFG,GMB,social,Floral,Floral,GMB,Social,Floral,JustBecause,Explore,https://studleys.com/product-category/flowers/just-because/,https://studleys.com/product-category/flowers/just-because/?utm_source=GMB&utm_medium=Social&utm_campaign=Floral&utm_term=JustBecause&utm_content=Explore,,,1,2026-08-24T19:05:40.662Z,2026-08-24T19:05:40.662Z,SFG starter database | Just Because | GMB | Explore
